Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Resistors (220 Ohm 0.25W )","To control the current flow",4,0.04,"https://robu.in/product/220-ohm-resistor-0-25w-metal-film-pack-of-100/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWekTwWN9jC03A8IQT8r3AlY5&gclid=CjwKCAjw6f3RBhApEiwAMaCqWcaO2dly3_fFTVA-yL3R27B3th02OcCqODYx5UqYKDzOy5vnEFLU-hoCv24QAvD_BwE","robu"
"3mm Green DIP LED","For the light",4,0.06,"https://robu.in/product/5mm-green-surface-mount-led-pack-of-50/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWekTwWN9jC03A8IQT8r3AlY5&gclid=CjwKCAjw6f3RBhApEiwAMaCqWRUCdY8CmAQTw0-cabIrtaeX7ebfmDpTQ9LgE_gcqU91_RtSVQTk3hoCW7cQAvD_BwE","robu"
"Blank Keycaps(10)","To put it in the switches",1,1.59,"https://stackskb.com/store/numpad-keycaps/","stackskb"
"Seeed Studio XIAO RP2040 ","To control the board",1,6.55,"https://robu.in/product/seeed-studio-xiao-rp2040-v1-0/","robu"
"PCB Board","the main board",1,2.00,"https://jlcpcb.com/","jlcpcb"
"Linear Switch (moq 10)","To press the switch",1,3.18,"https://stackskb.com/store/hmx-switch-tester/","stackskb"
