Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Resistors ","To control the current flow",4,0.00,"","Self Sourced"
"Led ","For the light",4,0.00,"","Self Sourced"
"Blank Keycaps(10)","To put it in the switches",1,1.59,"https://stackskb.com/store/numpad-keycaps/","stackskb"
"Seeed Studio XIAO RP2040 ","To control the board",1,6.55,"https://robu.in/product/seeed-studio-xiao-rp2040-v1-0/","robu"
"PCB Board","the main board",1,2.00,"https://jlcpcb.com/","jlcpcb"
"Linear Switch (moq 10)","To press the switch",1,3.18,"https://stackskb.com/store/hmx-switch-tester/","stackskb"
